0,1,2,3
0.0,0.0,220.13211,0.0
0.0,0.0,209.15121,0.0
0.0,0.0,200.86285,0.0
0.0,0.0,193.61044,0.0
0.0,0.0,190.4671,0.0
0.0,0.0,161.80002,0.0
0.0,0.0,103.57092,0.0
0.0,0.0,0.0,165.4659
0.0,0.0,0.0,212.0007
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,177.4308,0.0
0.0,0.0,123.484695,0.0
0.0,0.0,133.8644,0.0
0.0,0.0,143.11809,0.0
0.0,0.0,151.73544,0.0
0.0,0.0,158.311,0.0
0.0,0.0,156.90474,0.0
0.0,0.0,152.69153,0.0
0.0,0.0,152.11513,0.0
0.0,0.0,150.0888,0.0
0.0,0.0,132.02138,0.0
0.0,0.0,58.167225,152.24176
0.0,0.0,0.0,219.2362
0.0,0.0,0.0,54.24636
0.0,0.0,311.56918,0.0
0.0,0.0,156.83069,0.0
0.0,0.0,112.73731,0.0
0.0,0.0,93.875435,0.0
0.0,0.0,87.891396,0.0
0.0,0.0,88.59937,0.0
0.0,0.0,86.18528,0.0
0.0,0.0,91.47735,0.0
0.0,0.0,106.79476,0.0
0.0,0.0,124.95936,0.0
0.0,0.0,138.21397,51.177757
0.0,0.0,129.5982,45.25854
0.0,0.0,90.29993,100.56367
0.0,0.0,0.0,186.61388
0.0,0.0,0.0,166.01355
0.0,0.0,183.86533,0.0
0.0,0.0,134.45653,0.0
0.0,0.0,116.11936,0.0
0.0,0.0,109.01357,0.0
0.0,0.0,99.93694,0.0
0.0,0.0,91.43831,0.0
0.0,0.0,93.29228,0.0
0.0,0.0,88.86977,0.0
0.0,0.0,87.31945,0.0
0.0,0.0,82.90408,0.0
0.0,0.0,80.52394,0.0
0.0,0.0,76.55303,0.0
0.0,0.0,66.92323,0.0
0.0,0.0,27.893036,97.162384
0.0,0.0,0.0,207.90825
0.0,0.0,0.0,93.691414
0.0,0.0,376.86664,0.0
0.0,0.0,203.09659,0.0
0.0,0.0,178.3035,0.0
0.0,0.0,168.13336,0.0
0.0,0.0,156.93199,0.0
0.0,0.0,144.81259,0.0
0.0,0.0,118.34966,0.0
0.0,0.0,47.072086,0.0
0.0,0.0,0.0,84.26267
0.0,0.0,0.0,204.07867
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,185.04073,0.0
0.0,0.0,95.31636,0.0
0.0,0.0,88.55235,50.804638
0.0,0.0,92.883514,47.995087
0.0,0.0,98.74995,30.33477
0.0,0.0,124.478294,32.626324
0.0,0.0,129.56421,32.168034
0.0,0.0,107.24292,56.405567
0.0,0.0,119.98168,51.851273
0.0,0.0,117.56454,55.932255
0.0,0.0,90.09147,79.718475
0.0,0.0,0.0,147.61539
0.0,0.0,0.0,138.23676
0.0,0.0,153.84807,0.0
0.0,0.0,124.35261,0.0
0.0,0.0,97.11018,0.0
0.0,0.0,92.84199,0.0
0.0,0.0,80.70137,0.0
0.0,0.0,86.03706,0.0
0.0,0.0,103.94666,0.0
0.0,0.0,103.60152,0.0
0.0,0.0,84.97664,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,75.389496
0.0,0.0,0.0,270.57248
0.0,0.0,0.0,0.0
0.0,0.0,121.4223,0.0
0.0,0.0,212.28345,0.0
0.0,0.0,157.03334,0.0
0.0,0.0,158.34224,0.0
0.0,0.0,158.76663,0.0
0.0,0.0,161.43578,0.0
